(1,'Canal City Realty Limited','Thorold','Niagara S','','','Serge Anthony Carpino','2023-12-20 16:16:14','2023-12-20 16:16:14'),
(2091,'Marcus & Millichap Real Estate Investment Services Canada Inc.','Ottawa','Ottawa-carleton','marcusmillichap.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2092,'Marie-france E Lavigne','Ottawa','Ottawa-carleton','','','Marie-france E Lavigne','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2093,'Marilyn Wilson Dream Properties Inc.','Ottawa','Ottawa-carleton','dreamproperties.com','','Rebecca Alessandra Bear Wilson','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2094,'Marland Realty Inc.','Ottawa','Ottawa-carleton','robmarland.com','','Robert Davies Marland','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2095,'Martels Real Estate Inc.','Ottawa','Ottawa-carleton','martels.ca','','Jacques Martel','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2096,'Max Wright Real Estate Corporation','Ottawa','Ottawa-carleton','sotherbysrealty.ca','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2097,'Mcelheran And Associates Inc.','Ottawa','Ottawa-carleton','brentmcelheran.com','','Brent W. Mcelheran','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2098,'Metro Ottawa Carlton Real Estate Ltd','Ottawa','Ottawa-carleton','metro-homes.com','','Sudhir Kumar Uppal','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2099,'Metview Realty Limited','Ottawa','Ottawa-carleton','metcalferealty.com','','Jennifer Wilmot Arbuckle','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2100,'Minto Realty Inc.','Ottawa','Ottawa-carleton','minto.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2101,'Money Max Realty Ltd. Brokerage','Ottawa','Ottawa-carleton','moneysandhu.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2102,'Morguard Investments Limited','Ottawa','Ottawa-carleton','morguard.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2103,'Natalie Mcguire Realty Inc.','Ottawa','Ottawa-carleton','nataliemcguire.ca','','Tami Pauline Eades','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2104,'National Capital Realty Brokerage Inc.','Ottawa','Ottawa-carleton','ericbrennan.ca','','Eric J Brennan','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2105,'One Percent Realty Ltd.','Ottawa','Ottawa-carleton','onepercentrealty.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2106,'Ottawa Insight Realty Corp.','Ottawa','Ottawa-carleton','','','Jeremy Aaron Silburt','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2107,'Ottawa Property Shop Realty Inc.','Ottawa','Ottawa-carleton','eottawarealestate.com','','Masoud Badre','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2108,'Ottawa Realty Ltd.','Ottawa','Ottawa-carleton','hallmarkottawa.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2109,'Ottawa Urban Realty Inc.','Ottawa','Ottawa-carleton','ottawaurbanrealty.com','','Daniel Christopher Moloughney','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2110,'Paradigm Commercial Real Estate & Brokerage Inc.','Ottawa','Ottawa-carleton','paradigmcommercial.ca','','Sarah Christina Ellen Vandenbelt','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2111,'Performance Realty Ltd.','Ottawa','Ottawa-carleton','performancerealty.ca','','John C. Rogan','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2112,'Pilon Group Inc.','Ottawa','Ottawa-carleton','pilongroup.com','','Jason Pilon','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2113,'Pma Brethour Real Estate Corporation Inc.','Ottawa','Ottawa-carleton','pmabrethour.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2114,'Power Marketing Real Estate Inc.','Ottawa','Ottawa-carleton','hamidriahi.com','','Monireh Riahi','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2115,'Properly Homes Inc.','Ottawa','Ottawa-carleton','properly.ca','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2116,'Proveras Commercial Realty Inc.','Ottawa','Ottawa-carleton','proveras.com','','Nicola Vincenzo Maiorino','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2117,'Qingston Valley Realty Inc.','Ottawa','Ottawa-carleton','','','Xue Bing Qing','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2118,'Quadreal Property Group Limited Partnership','Ottawa','Ottawa-carleton','quadreal.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2119,'Rangoli Citywide Realty Inc.','Ottawa','Ottawa-carleton','','','Charanjit Singh','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2120,'Rare Real Estate Inc.','Ottawa','Ottawa-carleton','rarerealestate.ca','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2121,'Re/max Absolute Lafontaine Realty Inc.','Ottawa','Ottawa-carleton','marclafontaine.com','','Marc Ayme Lafontaine','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2122,'Re/max Absolute Realty Inc.','Ottawa','Ottawa-carleton','joannegoneau.com','','Joanne Aline Goneau','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2123,'Re/max Affiliates Realty Ltd.','Ottawa','Ottawa-carleton','','','Kevin Grimes','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2124,'Real Broker Ontario Ltd.','Ottawa','Ottawa-carleton','therealbrokerage.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2125,'Real Estate Solutions Corp.','Ottawa','Ottawa-carleton','','','Hossein A. Wahab','2024-01-31 12:11:50','2023-12-20 16:57:58'),
(2126,'Real Estate Transaction Multi-services Incorporated','Ottawa','Ottawa-carleton','transacims.ca','','Juan Jose Vargas Castillo','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2127,'Real Strategy Advisors Ltd.','Ottawa','Ottawa-carleton','realstrategy.com','','Darren J.f. Fleming','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2128,'Realty Rebel (ottawa) Inc.','Ottawa','Ottawa-carleton','realtyrebel.com','','Kinga Diana Bielec','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2129,'Red Moose Realty Inc.','Ottawa','Ottawa-carleton','redmooserealty.com','','Joseph James Pekelsky','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2130,'Redpost Realty Inc.','Ottawa','Ottawa-carleton','redpost.ca','','Christiane Helene Lafleur','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2131,'Rhodes & Company Ltd.','Ottawa','Ottawa-carleton','cbrhodes.com','','James H Mckeown','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2132,'Riccardo Furano','Ottawa','Ottawa-carleton','','','Riccardo Furano','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2133,'Richcraft Realty Ltd.','Ottawa','Ottawa-carleton','richcraft.com','','Monica Rani Singhal','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2134,'Royal Star Realty Inc','Ottawa','Ottawa-carleton','royalstarrealty.com','','','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2135,'Sam Moussa Realty Inc','Ottawa','Ottawa-carleton','sammoussa.com','','Hussein Moussa','2023-12-20 16:57:58','2023-12-20 16:57:58'),
(2136,'Shaker Realty Ltd.','Ottawa','Ottawa-carleton','shakerrealty.ca','','Gary Shaker','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2137,'Smart City Realty Inc.','Ottawa','Ottawa-carleton','smartcityrealty.ca','','Michael Kostiuk','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2138,'Smart Connection Realty Inc','Ottawa','Ottawa-carleton','','','Marwan Osman','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2139,'Solid Rock Realty Inc.','Ottawa','Ottawa-carleton','srrealty.ca','','Gina Rose Cristello','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2140,'Staltari Commercial Real Estate Corp.','Ottawa','Ottawa-carleton','staltarirealestate.com','','Mario Staltari','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2141,'Susan Vered','Ottawa','Ottawa-carleton','','','Susan Vered','2024-01-31 12:11:50','2023-12-20 16:57:59'),
(2142,'Sutton Group - Premier Realty (2008) Ltd.','Ottawa','Ottawa-carleton','sutton.com','','Jean-philippe Cote-chartrand','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2143,'Synercapital Real Estate Investment Services Inc.','Ottawa','Ottawa-carleton','synercapital.ca','','Alejandro Duncan Diaz','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2144,'Team Realty Inc.','Ottawa','Ottawa-carleton','royallepage.ca','','','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2145,'The Blackburn Property Group Inc.','Ottawa','Ottawa-carleton','theblackburnpropertygroup.com','','Victoria Joanne Blackburn','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2146,'The Properties Group Realty Ltd','Ottawa','Ottawa-carleton','prpgrp.com','','Elizabeth Dayle Lahey','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2147,'The Real Estate Crew Inc.','Ottawa','Ottawa-carleton','','','Denis Leo Roy','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2148,'The Regional Group Of Companies Inc.','Ottawa','Ottawa-carleton','regionalgroup.com','','Alexander Gordon','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2149,'The Susan & Moe Team Inc','Ottawa','Ottawa-carleton','susanandmoe.com','','Maurice Arthur Vacheresse','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2150,'Toscano Walker Inc.','Ottawa','Ottawa-carleton','','','Judith Laviolette','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2151,'Tru Realty Inc.','Ottawa','Ottawa-carleton','kevinsaunders.ca','','Kevin D. Saunders','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2152,'Tuskers Realty Inc','Ottawa','Ottawa-carleton','','','James A Bostwick','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2153,'U Realty Group Inc.','Ottawa','Ottawa-carleton','','','Elias El-gharib','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2154,'Umber Realty Inc.','Ottawa','Ottawa-carleton','umberrealty.com','','Kristen Denis','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2155,'Unreserved Realty Inc.','Ottawa','Ottawa-carleton','unreserved.com','','','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2156,'Uppabe Incorporated','Ottawa','Ottawa-carleton','subhir.com','','Subhir Kumar Uppal','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2157,'Valiant Realty Corp.','Ottawa','Ottawa-carleton','','','Jonathan Joseph Valiant','2024-01-31 12:11:50','2023-12-20 16:57:59'),
(2158,'Victoria Island Realties Inc','Ottawa','Ottawa-carleton','','','Denis L Riopelle','2024-01-31 12:11:15','2023-12-20 16:57:59'),
(2159,'Vip Realty Inc.','Ottawa','Ottawa-carleton','kwintegrity.ca','','Wendy E. Bell','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2160,'Walker Real Estate Group Inc.','Ottawa','Ottawa-carleton','walkerottawa.com','','Christine Leigh Smith','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2161,'Westboro Property Shop Inc.','Ottawa','Ottawa-carleton','evrealestate.com','','Saulius Svirplys','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2162,'Your Community Realty Inc.','Ottawa','Ottawa-carleton','yourcommunityrealty.com','','','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2163,'Your Home Sold Guaranteed Realty Inc.','Ottawa','Ottawa-carleton','annaalemi.com','','Mojgan Anna Alemi','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2164,'Ziglu Inc.','Ottawa','Ottawa-carleton','ziglu.com','','Gilles Menard','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2165,'Zown Realty Inc.','Ottawa','Ottawa-carleton','zown.ca','','Ishtiaq Ahmed','2023-12-20 16:57:59','2023-12-20 16:57:59'),
(2166,'2536171 Ontario Inc.','Pembroke','Renfrew','scottre.ca','','James Marshall Scott','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2167,'Century 21 Aspire Realty Ltd.','Pembroke','Renfrew','thenevilleteam.com','','','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2168,'Edmonds & Associates Ltd.','Pembroke','Renfrew','royallepage.ca','','Scott M. Edmonds','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2169,'Homelife Donnelly Realty Inc.','Pembroke','Renfrew','pembrokehomes.ca','','Dale Francis Donnelly','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2170,'Ottawa Valley Realty Ltd.','Pembroke','Renfrew','exitottawavalley.ca','','Natalie Anne Frodsham','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2171,'Re/max Pembroke Realty Ltd.','Pembroke','Renfrew','','','Judith Anne Degeer','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2172,'Valley Property Shop Limited','Pembroke','Renfrew','valleypropertyshop.com','','Robert Matthew Bimm','2023-12-20 17:00:02','2023-12-20 17:00:02'),
(2173,'2708011 Ontario Inc.','Perth','Lanark County','remaxfrontline.com','','Sheri Aileen Marion D\'aoust','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2174,'Century 21 Synergy Realty Inc.','Perth','Lanark County','c21.ca','','','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2175,'Crown Integrity Real Estate Corporation','Perth','Lanark County','','','Demmerice Amanda Klock','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2176,'Homer Realty Corp.','Perth','Lanark County','','','Thomas Russell Vandusen','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2177,'Realty Executives Real Estate Ltd.','Perth','Lanark County','','','','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2178,'Royal Lepage Advantage Real Estate Ltd.','Perth','Lanark County','royallepage.ca','','','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2179,'Settlement Realty Ltd.','Perth','Lanark County','coldwellbanker.ca','','Paul A. Martin','2023-12-20 17:00:06','2023-12-20 17:00:06'),
(2180,'Century 21 Aspire Realty Ltd.','Petawawa','Renfrew','thenevilleteam.com','','Bartley J. Neville','2023-12-20 17:00:07','2023-12-20 17:00:07'),
(2181,'Edmonds & Associates Ltd.','Petawawa','Renfrew','royallepage.ca','','','2023-12-20 17:00:07','2023-12-20 17:00:07'),
(2182,'Re/max Pembroke Realty Ltd.','Petawawa','Renfrew','','','','2023-12-20 17:00:07','2023-12-20 17:00:07'),
(2183,'Red And White Realty Inc.','Petawawa','Renfrew','redandwhiterealty.com','','','2023-12-20 17:00:07','2023-12-20 17:00:07'),
(2184,'Achievers Real Estate Ltd','Peterborough','Peterborough County','lakeridge.ca','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2185,'Ball Real Estate Inc.','Peterborough','Peterborough County','ballrealestate.ca','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2186,'Bowes & Cocks Limited','Peterborough','Peterborough County','bowesandcocks.com','','William Clifford Cocks','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2187,'Buy/sell Network Realty Inc.','Peterborough','Peterborough County','buy-sellrealty.com','','Karen L Freeburn','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2188,'Century 21 United Realty Inc.','Peterborough','Peterborough County','century21.ca','','Andrew Mccrea','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2189,'Community Lifestyle Realty Inc.','Peterborough','Peterborough County','kwcommunity.ca','','Christina Arcangioli','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2190,'D N S Real Estate Limited','Peterborough','Peterborough County','dnsrealestate.ca','','James John Parkes','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2191,'Douglas N Rishor','Peterborough','Peterborough County','','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2192,'Electric Realty Inc.','Peterborough','Peterborough County','cbelectricrealty.ca','','Ian Reginald James Wallen Marshall','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2193,'Exp Realty Of Canada Inc','Peterborough','Peterborough County','exprealty.net','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2194,'Flat Rate Realty Corp.','Peterborough','Peterborough County','','','Garry William Samec','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2195,'Forest Hill Real Estate Inc','Peterborough','Peterborough County','','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2196,'Frank Real Estate Inc.','Peterborough','Peterborough County','royallepage.ca','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2197,'Homelife Preferred Realty Inc.','Peterborough','Peterborough County','','','Dorothy Diane Lloyd','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2198,'Homeward Inc.','Peterborough','Peterborough County','','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2199,'Just 3 Percent Realty Inc.','Peterborough','Peterborough County','just3percent.com','','James Matthew Murphy','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2200,'Lakefront Realty Corp.','Peterborough','Peterborough County','','','Bernardo Bezjak','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2201,'Liftlock Realty Incorporated','Peterborough','Peterborough County','exitrealtyliftlock.com','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2202,'Linz Hunt Real Estate Inc.','Peterborough','Peterborough County','royallepage.ca','','Lindsay Jane Hunt','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2203,'Mcconkey Real Estate Corporation','Peterborough','Peterborough County','','','Norman John Mcconkey','2024-01-29 17:32:02','2023-12-20 17:00:08'),
(2204,'Mincom Kawartha Lakes Realty Inc','Peterborough','Peterborough County','mincomkawarthalakes.com','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2205,'Peterborough Realty Inc.','Peterborough','Peterborough County','guardianproperty.ca','','Grant Allan Hayes','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2206,'Proalliance Realty Corporation','Peterborough','Peterborough County','royallepage.ca','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2207,'R.j.l. Realty Ltd.','Peterborough','Peterborough County','','','Ronald G Lawes','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2208,'Re/max Eastern Realty Inc.','Peterborough','Peterborough County','remaxhallmark.com','','Phillip Jeffrey Sam Ghany','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2209,'Re/max Rouge River Realty Ltd.','Peterborough','Peterborough County','remaxrougeriver.com','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2210,'Realty Executives Associates Ltd.','Peterborough','Peterborough County','alisonrealty.com','','Clarence E. Collison','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2211,'Realty Guys Inc.','Peterborough','Peterborough County','','','Brian Allan Schofield','2024-01-29 17:31:35','2023-12-20 17:00:08'),
(2212,'Realty Lease Consultants Inc.','Peterborough','Peterborough County','realtyleaseconsultant.com','','Ian Davison Toms','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2213,'Royal Heritage Realty Ltd.','Peterborough','Peterborough County','trebnet.com','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2214,'Stoneguide Realty Limited','Peterborough','Peterborough County','stoneguide.ca','','Thomas Arnold Bennett','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2215,'Terrequity Realty Inc','Peterborough','Peterborough County','terrequity.com','','','2023-12-20 17:00:08','2023-12-20 17:00:08'),
(2216,'2529919 Ontario Ltd.','Pickering','Durham Region','remaxprimeproperties.ca','','','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2217,'Atilde Realty Inc.','Pickering','Durham Region','','','Deanna Mae Williams','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2218,'Bca Realty Inc.','Pickering','Durham Region','','','Jajitha Mahendran','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2219,'Beg Brothers Real Estate Inc.','Pickering','Durham Region','begbrothers.com','','Mirza Absar Beg','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2220,'Best Homes Real Estate Inc.','Pickering','Durham Region','','','Imran Mehmood Sheikh','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2221,'Can Xl Realty Ltd.','Pickering','Durham Region','trebnet.com','','Piero Peticca','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2222,'Century 21 Kingdom Realty Inc.','Pickering','Durham Region','century21.ca','','Mohammad Avais Ashraf','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2223,'Connect Realty Inc.','Pickering','Durham Region','michellerisi.com','','Michelle Risi','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2224,'Genex Realty Corporation','Pickering','Durham Region','genexrealty.com','','Chris Videsh Ramsammy','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2225,'Hanton Real Estate Inc.','Pickering','Durham Region','','','Scott Anthony Hanton','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2226,'Ipro Realty Ltd','Pickering','Durham Region','','','','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2227,'Ljudevit Kvorka','Pickering','Durham Region','','','Ljudevit Kvorka','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2228,'M K Varvas And Associates Ltd','Pickering','Durham Region','','','Matti Kalevi Varvas','2024-01-31 12:11:50','2023-12-20 17:00:25'),
(2229,'Re/max Hallmark First Group Realty Ltd.','Pickering','Durham Region','remaxhallmark.com','','Ehsan Aghazadeh Tabrizi','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2230,'Realty Executives Plus Ltd','Pickering','Durham Region','realtyexecutivesregional.com','','','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2231,'Royal Heritage Realty Ltd.','Pickering','Durham Region','trebnet.com','','','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2232,'Sterling Realty Inc.','Pickering','Durham Region','sterlingrealtyinc.ca','','Bernie Jarrar','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2233,'Trading Homes Realty Inc.','Pickering','Durham Region','','','James W. Perry','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2234,'Upscale Realty Inc.','Pickering','Durham Region','corbier.ca','','Benjamin Corbier','2023-12-20 17:00:25','2023-12-20 17:00:25'),
(2235,'Clarke Street Realty Ltd','Port Colborne','Niagara S','','','Susan Marie Schroers','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2236,'Homeward Inc.','Port Colborne','Niagara S','','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2237,'Nrc Realty Inc.','Port Colborne','Niagara S','homesniagara.com','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2238,'Bosley Real Estate Ltd','Port Hope','Northumberland','','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2239,'Century 21 All-pro Realty (1993) Ltd.','Port Hope','Northumberland','eagle.ca','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2240,'Chestnut Park Real Estate Limited','Port Hope','Northumberland','chestnutpark.com','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2241,'Connect Ag Realty Inc.','Port Hope','Northumberland','connectagrealty.com','','Angela A Grogan','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2242,'Hurst Real Estate Services Inc.','Port Hope','Northumberland','','','David W. Hurst','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2243,'M.i.t. Realty Corporation Inc.','Port Hope','Northumberland','ganny.ca','','Richard E. Rogalski','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2244,'Proalliance Realty Corporation','Port Hope','Northumberland','royallepage.ca','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2245,'Royal Service Real Estate Inc','Port Hope','Northumberland','royalservice.ca','','Janice H. Parish','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2246,'The Nook Realty Inc.','Port Hope','Northumberland','','','','2023-12-20 17:01:03','2023-12-20 17:01:03'),
(2247,'1000085532 Ontario Inc.','Richmond Hill','York Region','rightathomerealty.com','','','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2248,'1000183916 Ontario Ltd.','Richmond Hill','York Region','','','Nazanin Pourheidar-shirazi','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2249,'1000482465 Ontario Inc.','Richmond Hill','York Region','','','Changan Guo','2024-01-29 17:31:26','2023-12-20 17:01:04'),
(2250,'2457415 Ontario Inc.','Richmond Hill','York Region','','','Dan Hao','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2251,'2540017 Ontario Inc.','Richmond Hill','York Region','power7realty.com','','Hoi-wai Kenneth Fok','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2252,'2667010 Ontario Limited','Richmond Hill','York Region','primepropertiesto.com','','Ye Zhen Liang','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2253,'2749087 Ontario Inc.','Richmond Hill','York Region','','','Ying Jian','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2254,'2810908 Ontario Ltd.','Richmond Hill','York Region','remaxtrillion.com','','Siu-sum Tang','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2255,'360 Realty Services Inc.','Richmond Hill','York Region','360realty.ca','','Lawrence Henry Kalmanson','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2256,'A3a Realty Inc.','Richmond Hill','York Region','a3arealty.com','','Amir Abbas Golband','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2257,'Alexis Demangelos','Richmond Hill','York Region','','','','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2258,'All Pass Realty Point Inc.','Richmond Hill','York Region','','','Esther Zamo Kana','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2259,'Apprise Limited','Richmond Hill','York Region','','','Ben Grieco','2024-01-31 12:11:50','2023-12-20 17:01:04'),
(2260,'Atrium Home Realty Inc.','Richmond Hill','York Region','atriumhomerealty.com','','','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2261,'Bees Home Realty Inc.','Richmond Hill','York Region','beeshomerealty.com','','Lai Fun Chan','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2262,'Bgs Realty Inc.','Richmond Hill','York Region','remaxelitere.com','','Fengxia S. Ji','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2263,'Bigbang Investment Realty Inc.','Richmond Hill','York Region','','','Xinliang Qu','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2264,'Blue Diamond Realty Corporation','Richmond Hill','York Region','','','Rhonda Beth Pearlman','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2265,'Canaan Realty Inc.','Richmond Hill','York Region','','','Patrick Au','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2266,'Canada Executive Realty Inc.','Richmond Hill','York Region','','','Shokooh Sheri Majdpour','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2267,'Canada Gem Realty Inc. Brokerage','Richmond Hill','York Region','','','Fereedon Mahmoodian','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2268,'Cedar Point Real Estate Corporation','Richmond Hill','York Region','','','Richard Amedeo Luciani','2024-01-31 12:11:50','2023-12-20 17:01:04'),
(2269,'Central Commercial Realty Inc.','Richmond Hill','York Region','centralcommercial.ca','','Morteza Sedighian','2023-12-20 17:01:04','2023-12-20 17:01:04'),
(2270,'Central Home Realty Inc.','Richmond Hill','York Region','centralhomerealty.com','','Dennis Ming Yu Liu','2023-12-20 17:01:04','2023-12-20 17:01:04'),
