brokerage,total_agents,with_email,email_percentage
M Commercial Realty Inc,1,1,100.0%
Sutton - Headwaters Realty Inc,1,1,100.0%
Whitney &amp; Company Ltd,1,1,100.0%
Arcturus Realty,1,1,100.0%
Kirkup Realty Corp,1,1,100.0%
Intercom Real Estate,1,1,100.0%
Sutton Group Incentive,1,1,100.0%
1000081140 Ontario Inc.,1,0,0.0%
H K Sit Realty Limited,1,0,0.0%
Altamira Realty Inc.,1,0,0.0%
Fabio Capobianco Real Estate Limited,1,0,0.0%
Glenview Realty Corp.,1,0,0.0%
Emi Realty Inc.,1,0,0.0%
Distinction Realty Limited,1,0,0.0%
Century 21 Leading Edge (bw) Realty Inc.,1,0,0.0%
2756849 Ontario Inc.,1,0,0.0%
Interchange Realty Inc.,1,0,0.0%
Great Neighbour Realty Inc.,1,0,0.0%
Golden World Realty Point Inc.,1,0,0.0%
D. S. A. Realty Limited,1,0,0.0%
Hopelight Realty Limited,1,0,0.0%
1995009 Ontario Inc.,1,0,0.0%
2526675 Ontario Inc.,1,0,0.0%
Gc Bespoke Realty Inc.,1,0,0.0%
Alkins Real Estate Ltd.,1,0,0.0%
2584233 Ontario Inc.,1,0,0.0%
2775737 Ontario Inc.,1,0,0.0%
Venture Point Realty Ltd.,1,0,0.0%
Doctor Realty Inc.,1,0,0.0%
Nobleman The 1% Realty Inc.,1,0,0.0%
Yorkville Realty Inc.,1,0,0.0%
Homelife New World Condomax Realty Inc.,1,0,0.0%
Family Realty Singar Inc,1,0,0.0%
Parkwood Real Estate Inc. Brokerage,1,0,0.0%
2561434 Ontario Inc.,1,0,0.0%
Bedford Realty Inc.,1,0,0.0%
Homelife Olympia Realty Inc.,1,0,0.0%
Realty Canada Inc.,1,0,0.0%
Dreamspace Realty Inc.,1,0,0.0%
J. K. Hoffmann Real Estate Ltd.,1,0,0.0%
Royal Estates Realty Point Inc.,1,0,0.0%
Albert I Wong,1,0,0.0%
Toronto's Best Home Realty Inc.,1,0,0.0%
Market Star Realty Inc.,1,0,0.0%
J. Mckay Realty Ltd,1,0,0.0%
My Realty Inc,1,0,0.0%
S. Botsis Realty Ltd.,1,0,0.0%
Guild Manor Realty Limited,1,0,0.0%
Andrew Pappas & Son Real Estate Limited,1,0,0.0%
Royal St.andrews Real Estate Services Limited,1,0,0.0%
1989617 Ontario Inc.,1,0,0.0%
Yajian Wang,1,0,0.0%
Golden Life Realty Ltd.,1,0,0.0%
Canadian National Real Estate Inc.,1,0,0.0%
Capital Hill Realty Inc.,1,0,0.0%
Valerie Cai Realty Corp.,1,0,0.0%
Century 21 Brown Limited,1,0,0.0%
Realty Corporation Of Canada I.c.i. Limited,1,0,0.0%
Raymund W Domian,1,0,0.0%
Terracomm Realty Inc.,1,0,0.0%
Pam Realty Ltd.,1,0,0.0%
West-100 Capital Realty Inc.,1,0,0.0%
Your Home Sold Guaranteed Realty - The Aa Realty Group Inc.,1,0,0.0%
Westminster Group Realty Inc.,1,0,0.0%
Nazareth J Menezes Realty Services Inc.,1,0,0.0%
Sophie Jaremko Real Estate Limited,1,0,0.0%
Re/max Hallmark Yu Group Realty Ltd.,1,0,0.0%
Summit Realty Inc.,1,0,0.0%
Visar Realty Inc.,1,0,0.0%
Nuland Realty Inc.,1,0,0.0%
Safeland Realty Inc.,1,0,0.0%
Peter Chung Real Estate Ltd.,1,0,0.0%
Madison Partners Realty Inc.,1,0,0.0%
Wow Factor Realty Inc.,1,0,0.0%
